Jahr,Delikt,Geschlecht,Beziehungsart,Fälle,Straftaten_Total,davon_versucht,davon_mehrfach,Anzahl_beschuldigter_Personen_Total,<10 Jahre,10 - 14 Jahre,15 - 17 Jahre,17 - 19 Jahre,20 - 24 Jahre,25 - 29 Jahre,30 - 34 Jahre,35 - 39 Jahre,40 - 49 Jahre,50 - 59 Jahre,60 - 69 Jahre,70 Jahre und +
2009,Total Häusliche Gewalt,Total,Alle,9450.0,16055.0,136.0,2668.0,9248,0,57,163,218,880,1253,1395,1396,2477,996,301,106
2009,Total Häusliche Gewalt,männlich,Alle,,,,,7476,0,46,134,174,721,988,1119,1071,2022,859,254,84
2009,Total Häusliche Gewalt,männlich,   Partnerschaft,,,,,4435,0,0,10,50,373,611,755,665,1248,507,160,53
2009,Total Häusliche Gewalt,männlich,   ehemalige Partnerschaft,,,,,1951,0,1,20,53,249,302,294,292,491,202,38,8
2009,Total Häusliche Gewalt,männlich,   Eltern-Kind-Beziehung,,,,,947,0,19,76,46,61,70,68,136,310,126,29,6
2009,Total Häusliche Gewalt,männlich,   andere Verwandtschaftsbeziehung,,,,,616,0,28,36,34,79,63,55,52,129,84,38,18
2009,Total Häusliche Gewalt,weiblich,Alle,,,,,1772,0,11,29,44,159,265,276,325,455,137,47,22
2009,Total Häusliche Gewalt,weiblich,   Partnerschaft,,,,,1001,0,0,6,17,93,179,179,199,234,64,19,10
2009,Total Häusliche Gewalt,weiblich,   ehemalige Partnerschaft,,,,,360,0,0,2,4,44,56,49,56,113,28,6,1
2009,Total Häusliche Gewalt,weiblich,   Eltern-Kind-Beziehung,,,,,279,0,9,17,17,10,23,39,51,87,18,7,1
2009,Total Häusliche Gewalt,weiblich,   andere Verwandtschaftsbeziehung,,,,,181,0,2,4,6,15,12,21,26,40,30,15,10
2009,Tötungsdelikte vollendet (Art. 111-113/116),Total,Alle,23.0,25.0,0.0,0.0,24,0,0,0,2,3,1,1,3,7,5,2,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,Alle,,,,,14,0,0,0,0,1,1,0,1,6,3,2,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   Partnerschaft,,,,,9,0,0,0,0,0,1,0,0,4,3,1,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   ehemalige Partnerschaft,,,,,2,X,X,X,X,X,X,X,X,X,X,X,X
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   Eltern-Kind-Beziehung,,,,,4,0,0,0,0,1,0,0,0,1,1,1,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   andere Verwandtschaftsbeziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,Alle,,,,,10,0,0,0,2,2,0,1,2,1,2,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   Partnerschaft,,,,,4,0,0,0,0,0,0,0,1,1,2,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   ehemalige Partnerschaft,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   Eltern-Kind-Beziehung,,,,,6,0,0,0,2,2,0,1,1,0,0,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   andere Verwandtschaftsbeziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Tötungsdelikte versucht (Art. 111-113/116),Total,Alle,49.0,54.0,54.0,0.0,50,0,0,1,0,6,10,6,7,14,1,4,1
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,Alle,,,,,38,0,0,1,0,6,8,3,6,11,1,1,1
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   Partnerschaft,,,,,23,0,0,0,0,4,3,1,5,8,1,1,0
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   ehemalige Partnerschaft,,,,,6,0,0,0,0,1,2,0,1,2,0,0,0
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   Eltern-Kind-Beziehung,,,,,5,0,0,0,0,0,1,1,0,3,0,0,0
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   andere Verwandtschaftsbeziehung,,,,,7,0,0,1,0,1,2,1,0,1,0,0,1
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,Alle,,,,,12,0,0,0,0,0,2,3,1,3,0,3,0
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,   Partnerschaft,,,,,9,0,0,0,0,0,2,2,0,2,0,3,0
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,   ehemalige Partnerschaft,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,   Eltern-Kind-Beziehung,,,,,3,X,X,X,X,X,X,X,X,X,X,X,X
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,   andere Verwandtschaftsbeziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),Total,Alle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),männlich,Alle,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),männlich,   Partnerschaft,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),männlich,   ehemalige Partnerschaft,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),männlich,   Eltern-Kind-Beziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),männlich,   andere Verwandtschaftsbeziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,Alle,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,   Partnerschaft,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,   ehemalige Partnerschaft,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,   Eltern-Kind-Beziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,   andere Verwandtschaftsbeziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),Total,Alle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),männlich,Alle,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),männlich,   Partnerschaft,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),männlich,   ehemalige Partnerschaft,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),männlich,   Eltern-Kind-Beziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),männlich,   andere Verwandtschaftsbeziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),weiblich,Alle,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),weiblich,   Partnerschaft,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),weiblich,   ehemalige Partnerschaft,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),weiblich,   Eltern-Kind-Beziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),weiblich,   andere Verwandtschaftsbeziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Schwere Körperverletzung (Art. 122),Total,Alle,53.0,55.0,3.0,4.0,54,0,0,0,3,7,10,9,8,10,5,1,1
2009,Schwere Körperverletzung (Art. 122),männlich,Alle,,,,,41,0,0,0,2,5,8,6,5,8,5,1,1
2009,Schwere Körperverletzung (Art. 122),männlich,   Partnerschaft,,,,,22,0,0,0,0,3,5,3,3,4,3,1,0
2009,Schwere Körperverletzung (Art. 122),männlich,   ehemalige Partnerschaft,,,,,10,0,0,0,1,1,1,2,1,3,1,0,0
2009,Schwere Körperverletzung (Art. 122),männlich,   Eltern-Kind-Beziehung,,,,,7,0,0,0,0,1,2,1,1,1,1,0,0
2009,Schwere Körperverletzung (Art. 122),männlich,   andere Verwandtschaftsbeziehung,,,,,4,0,0,0,1,0,0,0,0,1,1,0,1
2009,Schwere Körperverletzung (Art. 122),weiblich,Alle,,,,,13,0,0,0,1,2,2,3,3,2,0,0,0
2009,Schwere Körperverletzung (Art. 122),weiblich,   Partnerschaft,,,,,4,0,0,0,1,0,1,1,1,0,0,0,0
2009,Schwere Körperverletzung (Art. 122),weiblich,   ehemalige Partnerschaft,,,,,3,X,X,X,X,X,X,X,X,X,X,X,X
2009,Schwere Körperverletzung (Art. 122),weiblich,   Eltern-Kind-Beziehung,,,,,7,0,0,0,0,1,1,2,2,1,0,0,0
2009,Schwere Körperverletzung (Art. 122),weiblich,   andere Verwandtschaftsbeziehung,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Einfache Körperverletzung (Art. 123),Total,Alle,2161.0,2345.0,21.0,212.0,2217,0,8,34,45,202,308,356,376,572,233,60,23
2009,Einfache Körperverletzung (Art. 123),männlich,Alle,,,,,1820,0,6,27,39,169,248,294,297,465,210,45,20
2009,Einfache Körperverletzung (Art. 123),männlich,   Partnerschaft,,,,,1207,0,0,2,15,101,173,209,202,307,154,27,17
