Jahr,Delikt,Geschlecht,Beziehungsart,Fälle,Straftaten_Total,davon_versucht,davon_mehrfach,Anzahl_beschuldigter_Personen_Total,<10 Jahre,10 - 19 Jahre,20 - 29 Jahre,30 - 39 Jahre,40 - 49 Jahre,50 - 59 Jahre,60 - 69 Jahre,70 Jahre und +
2009,Total Häusliche Gewalt,Total,Alle,9450.0,16055.0,136.0,2668.0,9248,0,438.0,2133.0,2791.0,2477,996,301,106
2009,Total Häusliche Gewalt,männlich,Alle,,,,,7476,0,354.0,1709.0,2190.0,2022,859,254,84
2009,Total Häusliche Gewalt,männlich,   Partnerschaft,,,,,4435,0,60.0,984.0,1420.0,1248,507,160,53
2009,Total Häusliche Gewalt,männlich,   ehemalige Partnerschaft,,,,,1951,0,74.0,551.0,586.0,491,202,38,8
2009,Total Häusliche Gewalt,männlich,   Eltern-Kind-Beziehung,,,,,947,0,141.0,131.0,204.0,310,126,29,6
2009,Total Häusliche Gewalt,männlich,   andere Verwandtschaftsbeziehung,,,,,616,0,98.0,142.0,107.0,129,84,38,18
2009,Total Häusliche Gewalt,weiblich,Alle,,,,,1772,0,84.0,424.0,601.0,455,137,47,22
2009,Total Häusliche Gewalt,weiblich,   Partnerschaft,,,,,1001,0,23.0,272.0,378.0,234,64,19,10
2009,Total Häusliche Gewalt,weiblich,   ehemalige Partnerschaft,,,,,360,0,6.0,100.0,105.0,113,28,6,1
2009,Total Häusliche Gewalt,weiblich,   Eltern-Kind-Beziehung,,,,,279,0,43.0,33.0,90.0,87,18,7,1
2009,Total Häusliche Gewalt,weiblich,   andere Verwandtschaftsbeziehung,,,,,181,0,12.0,27.0,47.0,40,30,15,10
2009,Tötungsdelikte vollendet (Art. 111-113/116),Total,Alle,23.0,25.0,0.0,0.0,24,0,2.0,4.0,4.0,7,5,2,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,Alle,,,,,14,0,0.0,2.0,1.0,6,3,2,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   Partnerschaft,,,,,9,0,0.0,1.0,0.0,4,3,1,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   ehemalige Partnerschaft,,,,,2,X,0.0,0.0,0.0,X,X,X,X
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   Eltern-Kind-Beziehung,,,,,4,0,0.0,1.0,0.0,1,1,1,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   andere Verwandtschaftsbeziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,Alle,,,,,10,0,2.0,2.0,3.0,1,2,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   Partnerschaft,,,,,4,0,0.0,0.0,1.0,1,2,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   ehemalige Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   Eltern-Kind-Beziehung,,,,,6,0,2.0,2.0,2.0,0,0,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   andere Verwandtschaftsbeziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Tötungsdelikte versucht (Art. 111-113/116),Total,Alle,49.0,54.0,54.0,0.0,50,0,1.0,16.0,13.0,14,1,4,1
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,Alle,,,,,38,0,1.0,14.0,9.0,11,1,1,1
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   Partnerschaft,,,,,23,0,0.0,7.0,6.0,8,1,1,0
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   ehemalige Partnerschaft,,,,,6,0,0.0,3.0,1.0,2,0,0,0
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   Eltern-Kind-Beziehung,,,,,5,0,0.0,1.0,1.0,3,0,0,0
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   andere Verwandtschaftsbeziehung,,,,,7,0,1.0,3.0,1.0,1,0,0,1
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,Alle,,,,,12,0,0.0,2.0,4.0,3,0,3,0
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,   Partnerschaft,,,,,9,0,0.0,2.0,2.0,2,0,3,0
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,   ehemalige Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
