Jahr,Delikt,Geschlecht,Beziehungsart,Fälle,Straftaten_Total,davon_versucht,davon_mehrfach,Anzahl_geschaedigter_Personen_Total,<10 Jahre,10 - 19 Jahre,20 - 29 Jahre,30 - 39 Jahre,40 - 49 Jahre,50 - 59 Jahre,60 - 69 Jahre,70 Jahre und +
2009,Total Häusliche Gewalt,Total,Alle,9450.0,16055.0,136.0,2668.0,9715,383,1050.0,2380.0,2559.0,2125,809,299,109
2009,Total Häusliche Gewalt,männlich,Alle,,,,,2319,178,276.0,364.0,491.0,555,287,121,47
2009,Total Häusliche Gewalt,männlich,   Partnerschaft,,,,,1054,1,9.0,188.0,302.0,335,144,53,22
2009,Total Häusliche Gewalt,männlich,   ehemalige Partnerschaft,,,,,391,3,4.0,77.0,118.0,112,52,21,4
2009,Total Häusliche Gewalt,männlich,   Eltern-Kind-Beziehung,,,,,555,152,213.0,44.0,20.0,54,43,19,10
2009,Total Häusliche Gewalt,männlich,   andere Verwandtschaftsbeziehung,,,,,363,27,55.0,66.0,60.0,66,50,28,11
2009,Total Häusliche Gewalt,weiblich,Alle,,,,,7397,205,774.0,2016.0,2068.0,1570,522,178,63
2009,Total Häusliche Gewalt,weiblich,   Partnerschaft,,,,,4393,1,180.0,1277.0,1466.0,1015,319,105,29
2009,Total Häusliche Gewalt,weiblich,   ehemalige Partnerschaft,,,,,1941,1,166.0,650.0,569.0,428,100,21,6
2009,Total Häusliche Gewalt,weiblich,   Eltern-Kind-Beziehung,,,,,849,164,344.0,79.0,49.0,99,67,29,18
2009,Total Häusliche Gewalt,weiblich,   andere Verwandtschaftsbeziehung,,,,,442,42,109.0,88.0,52.0,71,45,24,11
2009,Tötungsdelikte vollendet (Art. 111-113/116),Total,Alle,23.0,25.0,0.0,0.0,25,5,4.0,2.0,5.0,7,2,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,Alle,,,,,9,1,3.0,0.0,3.0,1,1,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   Partnerschaft,,,,,4,0,0.0,0.0,3.0,1,0,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   ehemalige Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   Eltern-Kind-Beziehung,,,,,5,1,3.0,0.0,0.0,0,1,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),männlich,   andere Verwandtschaftsbeziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,Alle,,,,,16,4,1.0,2.0,2.0,6,1,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   Partnerschaft,,,,,9,0,0.0,1.0,1.0,6,1,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   ehemalige Partnerschaft,,,,,2,X,0.0,0.0,0.0,X,X,X,X
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   Eltern-Kind-Beziehung,,,,,5,4,1.0,0.0,0.0,0,0,0,0
2009,Tötungsdelikte vollendet (Art. 111-113/116),weiblich,   andere Verwandtschaftsbeziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Tötungsdelikte versucht (Art. 111-113/116),Total,Alle,49.0,54.0,54.0,0.0,54,6,0.0,17.0,16.0,5,3,4,3
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,Alle,,,,,20,2,0.0,8.0,2.0,3,2,1,2
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   Partnerschaft,,,,,10,0,0.0,3.0,1.0,3,1,1,1
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   ehemalige Partnerschaft,,,,,1,X,0.0,0.0,0.0,X,X,X,X
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   Eltern-Kind-Beziehung,,,,,3,X,0.0,0.0,0.0,X,X,X,X
2009,Tötungsdelikte versucht (Art. 111-113/116),männlich,   andere Verwandtschaftsbeziehung,,,,,6,0,0.0,4.0,1.0,0,1,0,0
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,Alle,,,,,34,4,0.0,9.0,14.0,2,1,3,1
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,   Partnerschaft,,,,,22,0,0.0,7.0,11.0,2,1,1,0
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,   ehemalige Partnerschaft,,,,,5,0,0.0,2.0,3.0,0,0,0,0
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,   Eltern-Kind-Beziehung,,,,,6,4,0.0,0.0,0.0,0,0,1,1
2009,Tötungsdelikte versucht (Art. 111-113/116),weiblich,   andere Verwandtschaftsbeziehung,,,,,1,X,0.0,0.0,0.0,X,X,X,X
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),Total,Alle,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),männlich,Alle,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),männlich,   Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),männlich,   ehemalige Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),männlich,   Eltern-Kind-Beziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),männlich,   andere Verwandtschaftsbeziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,Alle,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,   Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,   ehemalige Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
